技能名,属性,类型,威力,耗能,效果描述
啃咬,虫,物攻,40,0,造成物伤，1连击，本技能会受奉献影响，每被影响1次，能耗永久+1。
飞叶,草,物攻,40,0,对敌方精灵造成物理伤害。
虫结阵,虫,防御,0,2,减伤80%，应对攻击：己方队伍获得1次随机奉献。
网缚,虫,物攻,60,2,造成物伤，敌方获得物防-30%。
四维降解,幻,魔攻,100,7,造成魔伤，敌方每有1层印记，本技能能耗-1。
鸣沙陷阱,地,物攻,60,4,造成物伤，物防比敌方越高，本次技能威力越高。
冰捆缚,冰,状态,0,3,2连击，每次连击敌方获得全技能能耗+1。
极寒领域,冰,魔攻,105,6,造成魔伤，若敌方有冻结，本次技能威力+60，应对状态：使冻结翻倍。
消毒法,普通,魔攻,115,4,造成魔伤，驱散敌方5层增益。
贮藏,虫,状态,0,2,自己获得双攻+50%，每携带1个0能耗技能，额外+50%。
丢冰块,冰,物攻,90,3,造成物伤，敌方获得速度-30。
瞬间零度,冰,状态,0,0,本回合敌方使用的技能能耗+3，应对防御：改为全技能能耗+3。
偷师,幻,物攻,30,0,造成物伤，自己回复1能量。
超新星馈赠,幻,状态,0,2,敌方获得2层星陨印记，每使用1次，赋予的星陨印记层数+1。
空间压迫,幻,物攻,70,3,造成物伤，敌方获得1层星陨印记。
乱打,普通,魔攻,25,4,造成魔伤，5连击。
毒针,毒,物攻,20,0,造成物伤，敌方获得1层中毒。
毒囊,毒,物攻,25,2,造成物伤，敌方获得2层中毒，应对状态：改为获得6层。
鞭打,萌,物攻,40,0,对敌方精灵造成物理伤害。
星链,幻,状态,0,3,2连击，每次连击使敌方获得1层星陨印记。
错乱,幻,魔攻,65,2,造成魔伤，应对状态：敌方获得3层星陨印记。
风吹雪,冰,魔攻,30,0,造成魔伤，自己回复1能量。
超导加速,电,魔攻,70,2,造成魔伤，自己获得速度+30。
电流,电,魔攻,40,0,对敌方精灵造成魔法伤害。
霜冻,冰,状态,0,1,敌方获得魔防-100%。
冰锋横扫,冰,魔攻,0,4,造成魔伤，本技能威力等于敌方精灵技能总能耗的10倍。
增程电池,电,状态,0,2,自己获得1层蓄电印记。
雾气环绕,冰,状态,0,1,回复能量，回复值等于敌方技能总能耗的一半。
冰点,冰,状态,0,2,敌方获得5层冻结，应对防御：额外获得5层。
杠杆置换,机械,状态,0,0,自己回复2能量，交换两侧技能位置。
金属噪音,机械,魔攻,100,3,对敌方精灵造成魔法伤害。
冰锥,冰,物攻,40,0,对敌方精灵造成物理伤害。
霜天,冰,状态,0,4,敌方获得1层冻结，且每有1层冻结获得全技能能耗+1。
暴风雪,冰,物攻,85,3,造成物伤，敌方获得1层冻结。
冰晶坠,冰,物攻,90,4,造成物伤，敌方获得全技能能耗+1。
冰蛋壳,冰,防御,0,3,减伤60%，应对攻击：敌方获得2层减速印记。
滚雪球,冰,物攻,55,3,造成物伤，敌方获得2层冻结，应对状态：额外获得2层，本次技能威力翻倍。
冰冻光线,冰,魔攻,90,7,造成魔伤，敌方获得全技能能耗+2。
冬至,冰,状态,0,7,将天气改为暴风雪，持续8回合。
粒子对撞,幻,物攻,40,0,对敌方精灵造成物理伤害。
碎冰冰,冰,魔攻,40,3,造成魔伤，敌方每有1层冻结，本次技能威力+20。
赤子之心,萌,状态,0,2,自己获得萌化：全技能能耗永久-3。
磁暴,机械,魔攻,70,2,造成魔伤，本技能位于1号或3号位时威力+30，传动1。
钢铁洪流,机械,物攻,70,3,造成物伤，本技能位于1号位时威力+90，传动2。
联动装置,机械,状态,0,0,使用后两侧技能的威力永久+20，应对防御：变为威力永久+30。
打雪仗,冰,魔攻,45,3,造成魔伤，2连击。
钢钻,机械,物攻,0,4,造成物伤，技能威力为两侧技能威力和的三分之一，传动1。
充分燃烧,火,状态,0,3,使敌方身上的灼烧翻倍，并触发1次灼烧伤害。
爆裂飞弹,火,魔攻,160,7,对敌方精灵造成魔法伤害。
天火,火,状态,0,3,敌方获得10层灼烧，应对防御：改为获得30层。
除厄,火,魔攻,60,2,造成魔伤，驱散自己的减益。
疾风连袭,翼,状态,0,0,释放自己释放过的迅捷技能，其能耗之和的二分之一加至本技能能耗，每次使用后能耗+1。
龙吼,龙,物攻,60,1,对敌方精灵造成物理伤害。
龙炮,龙,物攻,100,3,对敌方精灵造成物理伤害。
散手,武,物攻,35,3,造成物伤，2连击，应对状态：本技能改为6连击。
截拳,武,物攻,90,3,造成物伤，应对状态：额外造成打断，回复该技能能耗的能量。
无影脚,武,物攻,85,3,造成物伤，应对状态：本次技能威力变为2倍。
淬火,火,防御,0,4,减伤80%，应对攻击：下次攻击技能威力翻倍。
焚毁,火,魔攻,60,2,造成魔伤，驱散敌方所有印记。
听桥,武,防御,0,4,减伤60%，应对攻击：对敌方造成物理伤害，威力与被应对技能相等。
炙热波动,火,魔攻,55,3,造成魔伤，敌方获得4层灼烧，应对状态：本次技能威力和赋予灼烧翻倍。
燃尽,火,魔攻,155,4,造成魔伤，敌方每失去5%生命，本次技能威力-5。
阳火增辉,火,魔攻,75,3,造成魔伤，每次击败敌方，本技能威力永久翻倍。
破防,武,状态,0,3,敌方获得双防-130%，应对防御：额外使被应对技能冷却2回合。
架势,龙,状态,0,2,自己回复20%生命，下次技能无需蓄力。
绵里藏针,龙,魔攻,50,2,造成魔伤，若敌方上回合没受到技能伤害，本技能威力永久+30。
双响炮,火,物攻,25,1,造成物伤，2连击。
崩拳,武,物攻,65,2,造成物伤，应对状态：自己获得物攻+100%。
主轴,机械,物攻,75,2,造成物伤，此技能位置不会改变。
龙吟,龙,状态,0,3,蓄力，自己获得双攻+100%和速度+60。
种皮爆裂,草,物攻,25,1,造成物伤，2连击。
角击,龙,魔攻,80,2,对敌方精灵造成魔法伤害。
龙威,龙,状态,0,3,自己获得1层龙噬印记 。
怨力打击,龙,魔攻,1,3,蓄力，造成魔伤，若蓄力期间受到攻击，本技能威力变为敌方技能威力的3倍。
龙息环爆,龙,魔攻,55,1,造成魔伤，应对状态：下次技能无需蓄力。
飞踢,普通,物攻,110,3,对敌方精灵造成物理伤害。
引雷,电,魔攻,35,3,造成魔伤，2连击，迸发：本次技能威力+20。
加大功率,电,状态,0,4,自己脱离，替换入场的精灵回复8能量。
能量守恒,机械,防御,0,2,减伤80%，应对攻击：两侧技能能耗永久-1。
齿轮切开,机械,物攻,130,5,造成物伤，本技能位于1号或3号位时能耗-2，传动1。
齿轮扭矩,机械,物攻,80,3,造成物伤，每回合位置发生变化时，本技能威力永久+20。
龙爪,龙,物攻,120,4,对敌方精灵造成物理伤害。
吹炎,龙,物攻,170,3,蓄力，造成物伤，应对状态：本次技能威力翻倍。
拆卸,机械,物攻,40,0,对敌方精灵造成物理伤害。
传感器,机械,物攻,20,1,造成物伤，2连击，本技能位于1号或3号位时连击+1，传动1。
激流,水,魔攻,120,4,对敌方精灵造成魔法伤害。
炎息,火,物攻,40,0,对敌方精灵造成物理伤害。
热气,火,魔攻,40,0,对敌方精灵造成魔法伤害。
烈焰风暴,火,魔攻,75,4,造成魔伤，敌方获得6层灼烧。
龙血,龙,防御,0,2,减伤70%，本技能可以在蓄力状态下使用，应对攻击：下次技能无需蓄力。
隼鳞,龙,物攻,140,5,对敌方精灵造成物理伤害。
恶念交换,恶,状态,0,4,与敌方交换生命比例。
牵连,恶,魔攻,85,4,造成魔伤，敌方每有1只力竭精灵，本次技能威力+30。
